CAR No,mileage,engine,max_power,seats,year,km_driven,fuel,seller_type,transmission,owner,Loan_Amount
160085,19.02 kmpl,1198 CC,67.05 bhp,5,2016,49000,Petrol,Dealer,Manual,First Owner,275000
160086,24.7 kmpl,796 CC,47.3 bhp,5,2016,32000,Petrol,Dealer,Manual,First Owner,315000
160087,24.7 kmpl,796 CC,47.3 bhp,5,2016,38000,Petrol,Dealer,Manual,First Owner,275000
160088,,,,,2015,78000,Diesel,Dealer,Manual,First Owner,475000
160089,19.81 kmpl,1086 CC,68.05 bhp,5,2012,28000,Petrol,Dealer,Manual,First Owner,290000
160090,14.0 kmpl,796 CC,35 bhp,5,2017,32000,Petrol,Dealer,Manual,First Owner,280000
160091,26.2 km/kg,998 CC,58.2 bhp,5,2010,44000,LPG,Dealer,Manual,First Owner,225000
160092,16.47 kmpl,1198 CC,74 bhp,5,2015,42000,Petrol,Dealer,Manual,First Owner,455000
160093,19.81 kmpl,1086 CC,68.05 bhp,5,2015,45000,Petrol,Dealer,Manual,Second Owner,351000
160094,15.04 kmpl,1598 CC,103.6 bhp,5,2012,12000,Petrol,Dealer,Manual,Second Owner,535000
160095,18.2 kmpl,998 CC,67.1 bhp,5,2009,55500,Petrol,Dealer,Manual,First Owner,175000
160096,18.5 kmpl,1197 CC,82.85 bhp,5,2013,61500,Petrol,Dealer,Manual,First Owner,525000
160097,26.59 kmpl,1248 CC,74 bhp,5,2016,150000,Diesel,Individual,Manual,First Owner,600000
160098,19.1 kmpl,1197 CC,82 bhp,5,2016,72000,Petrol,Dealer,Automatic,First Owner,565000
160099,19.7 kmpl,796 CC,46.3 bhp,5,2008,68000,Petrol,Dealer,Manual,Third Owner,120000
160100,22.54 kmpl,1396 CC,88.73 bhp,5,2017,110000,Diesel,Individual,Manual,First Owner,725000
160101,21.79 kmpl,998 CC,67.05 bhp,5,2009,77000,Petrol,Dealer,Manual,Second Owner,185000
160102,18.8 kmpl,1248 CC,90 bhp,5,2010,100000,Diesel,Individual,Manual,Second Owner,200000
160103,21.21 kmpl,1197 CC,81.80 bhp,5,2019,10000,Petrol,Individual,Manual,First Owner,615000
160104,15.37 kmpl,1196 CC,73 bhp,7,2016,100000,Petrol,Individual,Manual,Third Owner,270000
160105,21.4 kmpl,1197 CC,83.1 bhp,5,2018,35000,Petrol,Individual,Manual,First Owner,610000
160106,11.79 kmpl,2179 CC,120 bhp,8,2014,70000,Diesel,Individual,Automatic,Second Owner,625000
160107,19.0 kmpl,1194 CC,94.68 bhp,5,2020,5000,Petrol,Individual,Manual,Second Owner,400000
160108,17.0 kmpl,1591 CC,121.3 bhp,5,2017,37800,Petrol,Individual,Manual,First Owner,866000
160109,14.3 kmpl,1798 CC,160 bhp,5,2010,114000,Petrol,Individual,Manual,First Owner,700000
160110,15.8 kmpl,1172 CC,65 bhp,5,2010,48000,Petrol,Individual,Manual,First Owner,300000
160111,15.1 kmpl,2179 CC,155 bhp,7,2019,32000,Diesel,Individual,Manual,First Owner,1700000
160112,19.09 kmpl,1405 CC,69.01 bhp,5,2016,100000,Diesel,Individual,Manual,First Owner,375000
160113,22.32 kmpl,1582 CC,126.32 bhp,5,2013,150000,Diesel,Individual,Manual,Second Owner,522000
160114,21.9 kmpl,1396 CC,88.76 bhp,5,2013,69000,Diesel,Individual,Manual,First Owner,451999
160115,14.53 kmpl,1798 CC,138.1 bhp,5,2009,100000,Petrol,Individual,Manual,Second Owner,300000
160116,21.63 kmpl,998 CC,67.04 bhp,5,2020,13000,Petrol,Individual,Manual,First Owner,475000
160117,24.3 kmpl,1248 CC,88.5 bhp,5,2016,60000,Diesel,Individual,Manual,First Owner,780000
160118,20.85 kmpl,1197 CC,83.14 bhp,5,2017,40000,Petrol,Individual,Manual,First Owner,595000
160119,20.51 kmpl,998 CC,67.04 bhp,5,2017,35000,Petrol,Individual,Manual,First Owner,440000
160120,,,,,2010,120000,Diesel,Individual,Manual,Second Owner,300000
160121,20.45 kmpl,1461 CC,83.8 bhp,5,2014,70000,Diesel,Individual,Manual,Third Owner,400000
160122,19.67 kmpl,1582 CC,126.2 bhp,5,2016,50000,Diesel,Individual,Manual,First Owner,1140000
160123,23.0 kmpl,1498 CC,98.96 bhp,5,2017,76139,Diesel,Individual,Manual,First Owner,850000
160124,19.3 kmpl,1248 CC,73.9 bhp,5,2012,175000,Diesel,Individual,Manual,Fourth & Above Owner,370000
160125,23.01 kmpl,999 CC,67 bhp,5,2018,25000,Petrol,Individual,Manual,First Owner,350000
160126,23.1 kmpl,998 CC,67.04 bhp,5,2015,40000,Petrol,Individual,Manual,Second Owner,360000
160127,19.7 kmpl,796 CC,46.3 bhp,5,2008,65000,Petrol,Individual,Manual,Fourth & Above Owner,105000
160128,20.77 kmpl,1248 CC,88.76 bhp,7,2013,90000,Diesel,Individual,Manual,Second Owner,625000
160129,17.92 kmpl,1086 CC,62.1 bhp,5,2009,80000,Petrol,Individual,Manual,Second Owner,135000
160130,20.77 kmpl,1248 CC,88.76 bhp,7,2015,110000,Diesel,Individual,Manual,Second Owner,700000
160131,17.8 kmpl,1198 CC,86.7 bhp,5,2019,1303,Petrol,Dealer,Manual,First Owner,690000
160132,17.01 kmpl,1968 CC,188 bhp,5,2018,31800,Diesel,Dealer,Automatic,First Owner,3975000
160133,22.37 kmpl,2487 CC,214.56 bhp,5,2019,20000,Petrol,Dealer,Automatic,First Owner,5150000
160134,19.33 kmpl,1999 CC,177 bhp,5,2017,45000,Diesel,Dealer,Automatic,First Owner,3200000
160135,9.5 kmpl,3604 CC,280 bhp,5,2017,17000,Petrol,Individual,Automatic,First Owner,4100000
160136,12.83 kmpl,1999 CC,148.31 bhp,7,2019,21000,Diesel,Dealer,Automatic,First Owner,4500000
160137,13.5 kmpl,2987 CC,254.79 bhp,5,2017,37000,Diesel,Dealer,Automatic,First Owner,6000000
160138,22.48 kmpl,1995 CC,187.74 bhp,5,2018,29500,Diesel,Dealer,Automatic,First Owner,3790000
160139,,,,,2017,27000,Diesel,Dealer,Automatic,First Owner,2150000
160140,16.78 kmpl,1995 CC,190 bhp,5,2019,7500,Diesel,Dealer,Automatic,First Owner,5800000
160141,14.67 kmpl,1798 CC,177.46 bhp,5,2018,50000,Petrol,Dealer,Automatic,First Owner,1864999
160142,15.0 kmpl,2143 CC,204 bhp,5,2016,35000,Diesel,Dealer,Automatic,First Owner,2700000
160143,13.96 kmpl,1451 CC,141 bhp,5,2019,19000,Petrol,Dealer,Automatic,First Owner,1750000
160144,18.0 kmpl,1497 CC,117.6 bhp,5,2017,41000,Petrol,Dealer,Automatic,First Owner,795000
160145,14.28 kmpl,1798 CC,138.03 bhp,5,2013,39000,Petrol,Dealer,Automatic,First Owner,625000
160146,18.0 kmpl,1969 CC,190 bhp,5,2018,22000,Diesel,Dealer,Automatic,First Owner,3400000
160147,12.07 kmpl,2967 CC,241.4 bhp,7,2015,53000,Diesel,Dealer,Automatic,First Owner,2650000
160148,26.21 kmpl,1248 CC,88.5 bhp,5,2015,40000,Diesel,Dealer,Manual,First Owner,535000
160149,13.5 kmpl,2987 CC,282 bhp,5,2017,47000,Diesel,Dealer,Automatic,First Owner,5850000
160150,10.8 kmpl,2497 CC,150 bhp,5,2010,72200,Petrol,Dealer,Automatic,Second Owner,975000
160151,16.3 kmpl,1797 CC,147.5 bhp,5,2016,49900,Petrol,Dealer,Manual,First Owner,805000
160152,13.6 kmpl,1999 CC,177 bhp,5,2017,9000,Diesel,Dealer,Automatic,First Owner,2625000
160153,17.0 kmpl,1198 CC,108.5 bhp,5,2018,11000,Petrol,Dealer,Manual,First Owner,811000
160154,15.04 kmpl,1598 CC,103.6 bhp,5,2011,49000,Petrol,Individual,Manual,First Owner,375000
160155,16.3 kmpl,1797 CC,147.5 bhp,5,2012,95000,Petrol,Individual,Manual,First Owner,550000
160156,14.3 kmpl,1598 CC,103.5 bhp,5,2016,11000,Petrol,Dealer,Automatic,First Owner,645000
160157,15.04 kmpl,1991 CC,183 bhp,5,2018,18000,Petrol,Dealer,Automatic,First Owner,2550000
160158,16.02 kmpl,1373 CC,93.7 bhp,7,2014,46100,Petrol,Dealer,Manual,First Owner,599000
160159,14.74 kmpl,1991 CC,181.04 bhp,5,2017,16000,Petrol,Dealer,Automatic,First Owner,2700000
160160,15.6 kmpl,1497 CC,116.3 bhp,5,2017,18000,Petrol,Dealer,Automatic,First Owner,875000
160161,19.56 kmpl,1197 CC,81.80 bhp,5,2019,9654,Petrol,Dealer,Automatic,First Owner,894999
160162,23.95 kmpl,998 CC,67.05 bhp,5,2011,11000,Petrol,Dealer,Manual,First Owner,175000
160163,21.21 kmpl,1197 CC,81.80 bhp,5,2012,24300,Petrol,Dealer,Manual,First Owner,340000
160164,11.36 kmpl,2755 CC,171.5 bhp,7,2016,42163,Diesel,Dealer,Automatic,Second Owner,1525000
160165,21.5 kmpl,1497 CC,108.5 bhp,5,2018,8000,Diesel,Dealer,Automatic,First Owner,1025000
160166,22.69 kmpl,1995 CC,190 bhp,5,2016,30000,Diesel,Dealer,Automatic,First Owner,2150000
160167,19.16 kmpl,2494 CC,157.7 bhp,5,2016,41000,Petrol,Dealer,Automatic,First Owner,1900000
160168,18.12 kmpl,1995 CC,190 bhp,5,2016,12000,Diesel,Dealer,Automatic,First Owner,2900000
160169,12.1 kmpl,2362 CC,164.7 bhp,5,2009,71000,Petrol,Dealer,Automatic,First Owner,450000
160170,17.5 kmpl,1373 CC,91.1 bhp,7,2016,20000,Petrol,Individual,Manual,First Owner,850000
160171,42.0 kmpl,1969 CC,400 bhp,4,2017,30000,Petrol,Individual,Automatic,First Owner,10000000
160172,20.54 kmpl,1598 CC,103.6 bhp,5,2011,100000,Diesel,Individual,Manual,Second Owner,300000
160173,18.16 kmpl,1196 CC,86.8 bhp,5,2018,9500,Petrol,Individual,Manual,First Owner,575000
160174,20.0 kmpl,1399 CC,68 bhp,5,2011,120000,Diesel,Individual,Manual,First Owner,160000
160175,20.4 kmpl,1197 CC,81.80 bhp,5,2015,36600,Petrol,Individual,Manual,First Owner,515000
160176,20.51 kmpl,998 CC,67 bhp,5,2015,50000,Petrol,Individual,Automatic,Second Owner,390000
160177,18.6 kmpl,1197 CC,81.83 bhp,5,2016,14000,Petrol,Individual,Manual,Second Owner,550000
160178,16.1 kmpl,796 CC,37 bhp,4,1999,40000,Petrol,Individual,Manual,Second Owner,40000
160179,21.1 kmpl,1248 CC,73.9 bhp,5,2010,120000,Diesel,Individual,Manual,First Owner,220000
160180,18.9 kmpl,1197 CC,82 bhp,5,2015,70000,Petrol,Individual,Manual,First Owner,425000
160181,19.44 kmpl,999 CC,75 bhp,5,2019,13000,Petrol,Individual,Manual,First Owner,480000
160182,18.9 kmpl,1197 CC,82 bhp,5,2014,60000,Petrol,Individual,Manual,Second Owner,400000
160183,19.1 kmpl,1197 CC,85.8 bhp,5,2014,35000,Petrol,Individual,Manual,First Owner,487000
160184,19.1 kmpl,1197 CC,82 bhp,5,2016,44000,Petrol,Individual,Manual,Second Owner,386000
160185,13.0 kmpl,1493 CC,100 bhp,5,2005,120000,Petrol,Individual,Manual,Second Owner,100000
160186,21.43 kmpl,1364 CC,87.2 bhp,5,2010,60000,Diesel,Individual,Manual,First Owner,300000
160187,18.5 kmpl,796 CC,53 bhp,5,2000,60000,Petrol,Individual,Manual,First Owner,100000
160188,13.0 kmpl,2982 CC,168.5 bhp,7,2014,30000,Diesel,Individual,Manual,Second Owner,1750000
160189,18.15 kmpl,1198 CC,82 bhp,6,2016,15000,Petrol,Individual,Manual,Second Owner,450000
160190,22.95 kmpl,1248 CC,74 bhp,5,2017,90000,Diesel,Individual,Manual,First Owner,490000
160191,17.0 kmpl,1497 CC,118 bhp,5,2009,47000,Petrol,Individual,Manual,Second Owner,345000
160192,17.3 kmpl,993 CC,60 bhp,5,2005,90000,Petrol,Individual,Manual,First Owner,85000
160193,18.9 kmpl,998 CC,67.1 bhp,5,2010,120600,Petrol,Individual,Manual,Second Owner,215000
160194,16.2 kmpl,1599 CC,103.2 bhp,5,2010,100000,Petrol,Individual,Manual,Third Owner,320000
160195,20.85 kmpl,1197 CC,83.14 bhp,5,2016,60000,Petrol,Individual,Manual,Second Owner,459999
160196,15.3 kmpl,1341 CC,83 bhp,5,2005,86000,Petrol,Individual,Manual,First Owner,65000
160197,18.6 kmpl,1197 CC,81.86 bhp,5,2020,5000,Petrol,Individual,Manual,First Owner,720000
160198,28.09 kmpl,1248 CC,88.5 bhp,5,2017,37000,Diesel,Individual,Manual,First Owner,800000
160199,20.3 kmpl,1199 CC,84 bhp,5,2019,14000,Petrol,Individual,Manual,First Owner,520000
160200,20.77 kmpl,1248 CC,88.76 bhp,7,2015,70000,Diesel,Individual,Manual,First Owner,580000
160201,,,,,2012,120000,Diesel,Individual,Manual,First Owner,235000
160202,17.4 kmpl,1497 CC,117.3 bhp,5,2015,50000,Petrol,Individual,Manual,First Owner,600000
160203,19.4 kmpl,1198 CC,86.8 bhp,5,2014,60000,Petrol,Individual,Manual,Second Owner,290000
160204,26.6 km/kg,998 CC,58.16 bhp,5,2016,50000,CNG,Individual,Manual,First Owner,360000
160205,20.85 kmpl,1197 CC,83.14 bhp,5,2017,50000,Petrol,Individual,Manual,First Owner,550000
160206,18.5 kmpl,1197 CC,82.85 bhp,5,2013,70000,Petrol,Individual,Manual,First Owner,375000
160207,,,,,2003,90000,Petrol,Individual,Manual,Second Owner,40000
160208,20.51 kmpl,998 CC,67 bhp,5,2018,35000,Petrol,Individual,Automatic,First Owner,420000
160209,21.21 kmpl,1197 CC,81.80 bhp,5,2017,20000,Petrol,Individual,Manual,First Owner,550000
160210,24.7 kmpl,796 CC,47.3 bhp,5,2018,20000,Petrol,Individual,Manual,First Owner,270000
160211,22.0 kmpl,1197 CC,81.80 bhp,5,2018,7800,Petrol,Individual,Automatic,First Owner,700000
160212,20.4 kmpl,1197 CC,81.80 bhp,5,2017,20000,Petrol,Individual,Manual,First Owner,500000
160213,17.6 kmpl,2179 CC,147.94 bhp,7,2019,15000,Diesel,Individual,Manual,First Owner,1250000
160214,18.5 kmpl,1197 CC,82.85 bhp,5,2013,31377,Petrol,Individual,Manual,Second Owner,320000
160215,28.4 kmpl,1248 CC,74.02 bhp,5,2018,50000,Diesel,Individual,Manual,First Owner,700000
160216,20.51 kmpl,998 CC,67.04 bhp,5,2015,60000,Petrol,Individual,Manual,First Owner,290000
160217,14.53 kmpl,1794 CC,138.1 bhp,5,2012,100000,Petrol,Individual,Automatic,First Owner,550000
160218,19.4 kmpl,1198 CC,86.8 bhp,5,2012,60000,Petrol,Individual,Manual,First Owner,265000
160219,21.4 kmpl,1197 CC,83.1 bhp,5,2018,5000,Petrol,Individual,Automatic,First Owner,830000
160220,14.1 kmpl,2179 CC,147.94 bhp,7,2017,60000,Diesel,Individual,Manual,First Owner,800000
160221,19.7 kmpl,796 CC,46.3 bhp,5,2011,25000,Petrol,Individual,Manual,Second Owner,160000
160222,25.17 kmpl,799 CC,53.3 bhp,5,2018,30000,Petrol,Individual,Manual,First Owner,335000
160223,20.63 kmpl,1198 CC,67 bhp,5,2017,80000,Petrol,Individual,Manual,Second Owner,329000
160224,24.3 kmpl,1248 CC,88.5 bhp,5,2017,75000,Diesel,Individual,Manual,First Owner,775000
160225,20.14 kmpl,1197 CC,81.86 bhp,5,2020,32000,Petrol,Individual,Manual,First Owner,524000
160226,22.74 kmpl,796 CC,47.3 bhp,5,2015,40000,Petrol,Individual,Manual,First Owner,245000
160227,17.0 kmpl,1197 CC,80 bhp,5,2012,93000,Petrol,Individual,Manual,Second Owner,275000
160228,17.57 kmpl,1193 CC,88.7 bhp,5,2018,60000,Petrol,Individual,Manual,First Owner,520000
160229,,,,,2008,120000,Petrol,Individual,Manual,Second Owner,130000
160230,16.95 kmpl,1498 CC,97.7 bhp,5,2014,37000,Petrol,Individual,Manual,First Owner,550000
160231,17.0 kmpl,1497 CC,121.36 bhp,5,2018,15000,Petrol,Individual,Manual,First Owner,910000
160232,19.49 kmpl,1198 CC,67.04 bhp,5,2015,80000,Petrol,Individual,Manual,First Owner,300000
160233,20.51 kmpl,998 CC,67.04 bhp,5,2016,140000,Petrol,Individual,Manual,First Owner,350000
160234,12.83 kmpl,2696 CC,162 bhp,7,2013,70000,Diesel,Individual,Manual,First Owner,900000
160235,17.21 kmpl,1493 CC,100 bhp,7,2013,120000,Diesel,Individual,Manual,Second Owner,300000
160236,21.1 kmpl,1248 CC,73.9 bhp,5,2010,110000,Diesel,Individual,Manual,Second Owner,250000
160237,19.67 kmpl,1582 CC,126.2 bhp,5,2017,37000,Diesel,Individual,Manual,First Owner,1100000
160238,25.17 kmpl,799 CC,53.3 bhp,5,2016,44000,Petrol,Individual,Manual,First Owner,270000
160239,20.77 kmpl,1248 CC,88.76 bhp,7,2015,80000,Diesel,Individual,Manual,First Owner,640000
160240,15.1 kmpl,2179 CC,140 bhp,7,2015,125000,Diesel,Individual,Manual,First Owner,650000
160241,15.37 kmpl,1196 CC,73 bhp,5,2017,13500,Petrol,Individual,Manual,First Owner,409999
160242,17.92 kmpl,1086 CC,62.1 bhp,5,2011,75000,Petrol,Individual,Manual,First Owner,165000
160243,13.2 kmpl,1495 CC,94 bhp,5,2007,120000,Petrol,Individual,Manual,Second Owner,80000
160244,15.1 kmpl,2179 CC,140 bhp,7,2012,120000,Diesel,Individual,Manual,First Owner,535000
160245,12.99 kmpl,2494 CC,100.57 bhp,7,2013,70000,Diesel,Individual,Manual,First Owner,700000
160246,23.4 kmpl,1248 CC,74 bhp,5,2013,70000,Diesel,Individual,Manual,First Owner,550000
160247,19.0 kmpl,1199 CC,88.76 bhp,5,2019,15000,Petrol,Individual,Automatic,First Owner,680000
160248,20.36 kmpl,1197 CC,78.9 bhp,5,2009,53000,Petrol,Individual,Manual,Second Owner,200000
160249,23.4 kmpl,1248 CC,74 bhp,5,2014,120000,Diesel,Individual,Manual,Second Owner,500000
160250,24.52 kmpl,1248 CC,88.5 bhp,7,2016,70000,Diesel,Individual,Manual,First Owner,1000000
160251,14.2 kmpl,1341 CC,82.9 bhp,5,2008,120000,Petrol,Individual,Manual,Second Owner,110000
160252,18.5 kmpl,1197 CC,80 bhp,5,2012,100000,Petrol,Individual,Manual,Second Owner,320000
160253,,,,,2005,110000,Diesel,Individual,Manual,Second Owner,75000
160254,20.4 kmpl,1197 CC,83.11 bhp,5,2015,100000,Petrol,Individual,Manual,First Owner,350000
160255,19.4 kmpl,1405 CC,70 bhp,5,2013,162500,Diesel,Individual,Manual,First Owner,170000
